slope,elev_5x5_rel,elev_5x5_std_dev,slope_5x5_std_dev,twi_10m,twi_100m,dd_s,dd_h,dd_v,label
89.99488,0.82084715,1.2211678,0.0014476139,11.271364,0.48638332,14.791993,14.743064,1.1841599,1
89.99448,0.32280028,1.2594082,0.0027498663,12.944454,-2.9355843,11.707039,11.65386,1.1139541,1
89.99695,2.2613013,2.9348528,0.0009879485,16.531992,-1.4189044,0.0,0.0,0.0,1
89.97138,0.06713867,0.270095,0.0057028565,16.650524,-1.1341851,0.0,0.0,0.0,1
89.90947,0.005,0.074708246,0.036856115,12.721121,-0.023803584,88.618546,88.61734,0.41833496,1
89.99883,-0.47973633,6.8342614,0.00017793344,9.5302725,-5.087209,115.54287,108.644325,33.03583,1
0.0,-1.2505552e-12,0.0,0.0,12.221263,-0.46804008,465.3103,465.3103,0.0,1
89.99836,3.2525537,5.5801997,0.00058419333,14.116007,-1.8074429,12.957315,12.434775,3.6425781,1
89.98586,-0.28309327,0.45913085,0.009138731,8.966504,-2.221959,226.03253,225.50182,14.372971,1
89.99623,-0.016584473,2.0052776,0.000543593,10.563447,-1.0145271,33.837032,33.500065,4.7537603,1
89.995056,-0.120910645,1.4566783,0.00024157627,10.806083,-1.9869013,133.34508,132.83186,11.1089945,1
0.0,4.5474735e-12,0.0,0.0,11.037865,2.2128696,81.270935,81.270935,0.0,1
0.0,-2.2737368e-13,0.0,0.0,8.91274,-1.2120377,353.08792,353.08792,0.0,1
0.0,-1.8189894e-12,0.0,0.0,15.715013,13.55152,27.658895,27.658895,0.0,1
89.99893,3.204287,7.0003033,0.00019795913,12.271302,-4.263903,15.814048,13.93494,7.4047914,1
0.0,-2.728484e-12,0.0,0.0,12.48736,-2.4244337,68.85781,68.85781,0.0,1
89.99434,-0.2615381,1.6028664,0.0009361292,8.575977,13.483258,51.427433,50.68358,8.658231,1
89.97988,0.013658447,0.29738137,0.0054625296,11.914036,-0.96623373,150.75801,150.74583,1.785109,1
89.996765,0.6266553,1.9921932,0.0018195075,15.497319,-2.266036,0.0,0.0,0.0,1
89.99824,1.7654932,3.276323,0.00080767384,8.991645,-1.5035238,15.6981945,15.37629,3.103721,1
89.99565,6.2190647,5.7657847,0.0011648313,14.616221,-3.1905384,0.0,0.0,0.0,1
89.97094,-0.044902343,0.25804,0.0035839076,14.89009,0.08662096,156.21829,156.07858,6.3315744,1
89.99514,3.0571778,3.168259,0.0017070753,20.534084,0.89493376,0.0,0.0,0.0,1
89.997925,1.6562036,3.42055,0.00020473952,12.412771,-3.0860167,43.94091,41.951515,12.763918,1
0.0,0.02565796,0.050088346,44.035126,13.870726,12.709897,7.392591,7.392591,0.0,1
0.0,2.5011104e-12,0.0,0.0,11.10169,0.7943767,107.02261,107.02261,0.0,1
89.99634,2.0926952,3.0309124,0.0010256517,15.955246,-3.2080998,0.0,0.0,0.0,1
89.99837,1.4190332,3.939572,0.00029208526,12.941843,-3.8720393,7.8684163,7.4279838,2.595581,1
89.99777,-0.30199218,3.4476712,0.00025075645,9.802096,-3.08472,105.33317,100.38657,26.617517,1
0.0,-2.046363e-12,0.0,0.0,11.818662,10.301049,141.07745,141.07745,0.0,1
89.986336,0.09906738,0.5368191,0.0025923864,16.419,-1.1067052,0.0,0.0,0.0,1
89.98977,-0.0074060056,0.7649591,0.000890078,11.614258,-1.2605497,143.88995,143.73184,6.57933,1
89.99434,2.0545897,2.7877355,0.0014804142,17.300734,-2.16746,0.0,0.0,0.0,1
89.99883,-0.133396,5.4322076,0.00068698084,7.842956,-4.0069566,56.991653,54.033524,17.468624,1
89.98694,0.0665918,0.5970964,0.0010940052,14.083336,-1.0013508,25.673826,25.651426,1.0621948,1
89.997536,-0.069609374,3.0576327,0.00085025915,8.679957,-3.3302634,62.803818,61.21262,13.869697,1
89.99661,0.054501954,1.80832,0.0012823178,11.374132,-1.9230791,22.714977,22.420689,3.6377563,1
89.99226,0.628999,1.2061577,0.0015079281,18.168541,-0.47213548,0.0,0.0,0.0,1
89.99876,2.103667,5.746492,0.00032932637,15.051589,-2.7864137,0.0,0.0,0.0,1
89.9979,1.266233,3.1311705,0.0005013575,9.411388,-3.280456,10.224553,9.978069,2.2315063,1
0.0,1.8189894e-12,0.0,0.0,13.361064,14.909096,163.05121,163.05121,0.0,1
89.99631,-0.071179196,2.0527613,0.00014495818,10.172144,-4.2999253,243.73206,242.63599,21.701515,1
89.97958,0.028865967,0.31272078,0.005419466,11.168965,-0.011629847,221.5357,221.52547,1.7385459,1
89.99564,0.6183911,1.3961033,0.001789612,10.281103,-0.6880602,10.022557,9.978247,0.94140625,1
89.995735,0.79256105,2.5752997,0.001562934,10.669608,-1.8680955,26.552477,26.314949,3.5173712,1
89.99719,0.7998486,2.5570338,0.0011142667,11.436565,-3.595635,12.948075,12.73007,2.3620694,1
89.99703,1.2248242,2.8845673,0.0004679942,14.25203,-1.6226374,0.0,0.0,0.0,1
89.935234,0.110809326,0.12225362,0.030999878,15.054092,5.077455,14.701073,14.700933,0.058728904,1
89.99306,0.13796875,1.0711254,0.0025791433,9.117039,-2.3436882,268.94498,268.01547,21.400515,1
0.0,-2.728484e-12,0.0,0.0,12.280061,18.52031,54.81079,54.81079,0.0,1
0.0,5.684342e-13,0.0,0.0,10.858726,5.458082,174.18365,174.18365,0.0,1
0.0,-3.4106051e-12,0.0,0.0,12.594732,-0.7056157,57.27252,57.27252,0.0,1
89.985695,0.3210498,0.9238713,0.0048064142,12.302745,-2.1994078,46.255272,46.152203,2.8368316,1
89.99905,0.9384668,5.366077,0.0016808847,7.634562,-2.1323364,16.21073,15.466683,4.5462036,1
89.99722,1.0708106,2.4837372,0.0013531477,10.53848,-1.7502264,10.094541,9.978082,1.5289307,1
89.9976,0.012875977,2.9203439,0.00039505522,9.884055,-3.8395293,162.73563,161.47034,19.022879,1
0.0,2.046363e-12,0.0,0.0,12.047796,8.036636,116.08745,116.08745,0.0,1
